schema	1
workload_sha256	ef7890d4cd5e04360a1a952d3aefb7c0378f1c1f929ce0e2484c25eb727f66c5
admission	pass
load_one	4.18
logical_cpus	10
free_memory_percent	45
subject	remux std-only TUI (attested)
version	0.1.0@6d00755c18fb
availability	measured
workload_mode	W4 real-trace replay + ANSI TUI + hash chain
sessions_requested	20
sessions_observed	20
preexisting_sessions	0
events_per_session	14
baseline_rss_bytes	N/A
peak_rss_bytes	42041344
steady_rss_bytes	38928384
steady_rss_samples	38584320,38731776,38813696,38862848,38912000,38928384,38928384,38944768,38944768,38944768,38944768,38961152,38961152
distinct_pid_count	21
steady_pid_count	21
fleet_spawn_wall_us	63835
spawn_latency_p50_us	N/A
spawn_latency_p95_us	N/A
spawn_latency_p99_us	N/A
capability_gaps	Per-session spawn acknowledgements are not exposed (fleet launch→ready is measured); 380 attestation records are externally verified.
